jugador,frecuencia
wadete01,2
benesal01,1
fossato01,1
mathetj01,2
osbordo01,2
petkoma01,2
dreifda01,1
ashbyan01,5
blairwi01,1
bochtdo01,1
hamiljo02,4
hoffmtr01,6
sandesc02,1
verasda01,1
worreti01,5
anderbr02,6
judenje01,2
mormaal01,3
wrighja02,9
mendora01,10
fasseje01,4
moyerja01,7
slocuhe01,1
spoljpa01,1
cathemi01,2
ligteke01,6
brownke01,8
heredfe01,7
hernali01,9
nenro01,7
powelja04,4
saundto01,2
beckro01,4
estessh01,2
henrydo01,4
rodriri02,1
rueteki01,6
garcira03,1
hamptmi01,8
kileda01,4
limajo01,3
magnami01,3
martito02,2
reynosh01,4
sprinru01,8
wagnebi02,8
alfonan01,5
colonba01,7
hernaor01,15
gordoto01,7
lowede01,14
martipe02,10
swindgr01,6
wasdijo01,2
jonesdo01,2
crabtti01,2
helliri01,6
seleaa01,6
perezod01,3
rockejo01,7
seaneru01,6
langsma01,2
micelda01,5
walldo01,3
clarkma01,1
karchma01,1
morgami01,4
woodke02,7
elartsc01,2
milletr02,6
garceri01,2
rapppa01,1
irabuhi01,1
watsoal01,1
depause01,1
karsast01,4
rincori01,4
loaizes01,5
venafmi01,2
zimmeje02,1
mcglike01,3
millwke01,6
remlimi01,9
doteloc01,10
francjo01,5
mahompa01,2
reedri01,8
wendetu01,5
yoshima01,2
cabrejo01,1
holtch01,1
chouibo01,1
daalom01,1
mantema01,2
olsongr01,1
plesada01,1
grimsja01,2
choatra01,9
abbotpa01,4
garcifr02,9
halamjo01,3
paniajo01,4
ramsaro01,1
sasakka01,4
tomkobr01,3
appieke01,4
heredgi01,1
hudsoti01,9
isrinja01,9
mecirji01,4
tamje01,2
zitoba01,9
baldwja01,1
barcelo01,1
bradfch01,10
buehrma01,5
foulkke01,5
howrybo01,2
parquji01,1
simasbi01,1
sirotmi01,1
wunscke01,1
jonesbo03,3
ruschgl01,3
whiteri01,5
ankieri01,2
chrisja01,3
jamesmi01,2
morrima01,10
reamebr01,2
veresda01,6
stephga01,1
deltomi01,1
fultzaa01,6
gardnma01,1
ortizru01,6
rodrife01,5
witasja01,6
pineijo01,2
baezda01,1
riskeda01,1
sabatcc01,12
hiljuer01,1
lidleco01,3
muldema01,4
batismi01,4
kimby01,5
lopezal02,3
marquja01,7
cruzne01,1
millewa04,1
mlickda01,1
villoro01,3
willimi03,1
hermadu01,3
klinest02,5
matthmi01,1
smithbu02,1
stechge01,1
williwo02,7
brohatr01,1
donnebr01,6
lackejo01,14
ortizra01,4
percitr01,3
rodrifr03,10
schoesc01,3
washbja01,5
weberbe01,3
guarded01,3
hawkila01,8
lohseky01,11
maysjo01,2
miltoer01,3
radkebr01,5
romerjc01,10
santajo01,5
weaveje01,7
fioreto01,1
bowiemi01,1
kochbi01,1
lillyte01,3
eyresc01,11
schmija01,4
crudami01,2
gryboke01,3
hammoch01,2
mossda01,1
aybarma01,1
fettemi01,1
koplomi01,1
myersmi01,5
shielsc01,6
zerbech01,1
arroybr01,7
jonesto02,4
sauersc01,1
willisc01,2
contrjo01,8
whitega01,2
rincoju01,3
harderi01,3
sparkst01,1
borowjo01,4
clemema01,3
farnsky01,6
priorma01,2
zambrca01,4
beckejo02,9
bumpna01,1
foxch02,3
loopebr01,6
pavanca01,5
pennybr01,5
redmama01,3
tejermi01,1
urbinug01,3
willido03,3
broweji01,2
hergema01,4
nathajo01,6
ponsosi01,1
willije02,1
cunnawi01,1
kingra01,4
cruzju02,5
liebejo01,2
quantpa01,2
sturtta01,3
vazquja01,3
escobke01,4
greggke01,2
balfogr01,7
crainje01,3
silvaca01,1
backebr01,5
harvich01,2
lidgebr01,14
munrope01,1
oswalro01,8
quallch01,6
wheelda01,9
calerki01,5
eldreca01,4
harenda01,5
suppaje01,8
brazoyh01,1
carragi01,1
desseel01,1
gagneer01,5
sanchdu01,1
byrdpa01,6
